Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
0,7,0,106,106,0
0,8,0,108,108,0
0,9,0,109,109,0
0,10,0,108,108,0
0,11,0,109,109,0
0,12,0,108,108,0
0,13,0,110,110,0
0,14,0,107,107,0
0,15,0,0,0,0
0,0,0,108,108,0
0,1,0,107,107,0
0,2,0,106,106,0
0,3,0,109,109,0
0,4,0,108,108,0
0,5,0,106,106,0
0,6,0,108,108,0
0,7,0,108,108,0
0,8,0,108,108,0
0,9,0,106,106,0
0,10,0,108,108,0
0,11,0,106,106,0
0,12,0,106,106,0
0,13,0,107,107,0
0,14,0,105,105,0
0,15,0,0,0,0
0,0,0,106,106,0
0,1,0,106,106,0
0,2,0,107,107,0
0,3,0,107,107,0
0,4,0,106,106,0
0,5,0,108,108,0
0,6,0,107,107,0
0,7,0,108,108,0
0,8,0,108,108,0
0,9,0,109,109,0
0,10,0,109,109,0
0,11,0,108,108,0
0,12,0,109,109,0
0,13,0,109,109,0
0,14,0,108,108,0
0,15,0,0,0,0
0,0,0,108,108,0
0,1,0,109,109,0
0,2,0,108,108,0
0,3,0,109,109,0
0,4,0,109,109,0
0,5,0,108,108,0
0,6,0,109,109,0
0,7,0,108,108,0
0,8,0,108,108,0
0,9,0,109,109,0
0,10,0,109,109,0
0,11,0,109,109,0
0,12,0,108,108,0
0,13,0,110,110,0
0,14,0,109,109,0
0,15,0,0,0,0
0,0,0,108,108,0
0,1,0,109,109,0
0,2,0,108,108,0
0,3,0,108,108,0
0,4,0,107,107,0
0,5,0,109,109,0
0,6,0,108,108,0
0,7,0,107,107,0
0,8,0,110,110,0
0,9,0,109,109,0
0,10,0,109,109,0
0,11,0,106,106,0
0,12,0,109,109,0
0,13,0,108,108,0
0,14,0,106,106,0
0,15,0,0,0,0
0,0,0,107,107,0
0,1,0,106,106,0
0,2,0,107,107,0
0,3,0,107,107,0
0,4,0,107,107,0
0,5,0,109,109,0
0,6,0,107,107,0
0,7,0,109,109,0
0,8,0,108,108,0
0,9,0,107,107,0
0,10,0,109,109,0
